Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
61,10:23:06,caferana,shade,old,10,10924.5,0,7.05,0.0129,1.03E+03,0.469,3.5,31.66,6,1.42,1,2.84,30.34,31.66,30.13,1999.86,1987.88,11.216,11.911,25.61,27.19,400.0,1999,33,99.2,-46.7,0.0729,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
62,10:24:44,caferana,shade,old,10,11022.5,0,6.95,0.012,976,0.43,3.45,31.46,6,1.42,1,2.84,30.33,31.46,30.13,1999.91,1988.20,11.214,11.851,25.62,27.07,400.0,1751,27,99.19,-46.7,0.0729,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
63,10:26:15,caferana,shade,old,10,11113.5,0,6.36,0.0115,1.02E+03,0.404,3.39,31.21,6,1.42,1,2.84,30.32,31.21,30.13,1999.88,1989.14,11.215,11.813,25.63,27.00,400.0,1499,31,99.19,-46.7,0.0729,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
64,10:27:46,caferana,shade,old,10,11204.5,0,6.37,0.0111,987,0.383,3.34,30.97,6,1.42,1,2.84,30.30,30.97,30.13,2000.18,1989.49,11.220,11.787,25.67,26.97,400.0,1250,32,99.19,-46.7,0.0729,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
65,10:29:22,caferana,shade,old,10,11300.5,0,6.02,0.0109,1.02E+03,0.371,3.28,30.75,6,1.42,1,2.84,30.29,30.75,30.13,1999.52,1989.38,11.227,11.777,25.70,26.96,400.0,1001,35,99.19,-46.7,0.0729,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
66,10:31:20,caferana,shade,old,10,11418.0,0,6.17,0.0107,983,0.357,3.23,30.56,6,1.42,1,2.84,30.28,30.56,30.13,1999.82,1989.50,11.247,11.776,25.76,26.98,400.0,800,35,99.18,-47.1,0.0748,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
67,10:33:20,caferana,shade,old,10,11538.5,0,5.63,0.0106,1.05E+03,0.345,3.16,30.29,6,1.42,1,2.84,30.27,30.29,30.13,1999.24,1989.76,11.261,11.772,25.81,26.98,400.0,500,36,99.18,-47.1,0.0735,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
68,10:35:26,caferana,shade,old,10,11664.5,0,5.35,0.0103,1.08E+03,0.331,3.11,30.06,6,1.42,1,2.84,30.25,30.06,30.13,1999.05,1990.03,11.273,11.764,25.87,27.00,400.0,299,30,99.18,-47.3,0.0703,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
69,10:37:50,caferana,shade,old,10,11808.5,0,4.97,0.0101,1.12E+03,0.32,3.08,29.94,6,1.42,1,2.84,30.23,29.94,30.13,2000.47,1992.05,11.284,11.759,25.92,27.01,400.0,199,28,99.18,-47.5,0.0732,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
70,10:39:48,caferana,shade,old,10,11926.5,0,4.31,0.00973,1.2E+03,0.307,3.05,29.83,6,1.42,1,2.84,30.22,29.83,30.13,2000.37,1992.98,11.298,11.753,25.97,27.01,400.0,100,29,99.18,-47.6,0.0713,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
71,10:41:46,caferana,shade,old,10,12044.0,0,3.39,0.00943,1.33E+03,0.295,3.03,29.74,6,1.42,1,2.84,30.20,29.74,30.13,1999.84,1993.87,11.285,11.723,25.97,26.98,400.0,50,34,99.18,-47.7,0.0716,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
